Country,Week,Combined field,TotalCasesWeek
Germany,6,Germany---Week-6 2020,6
Italy,6,Italy---Week-6 2020,0
Spain,6,Spain---Week-6 2020,0
United Kingdom,6,United Kingdom---Week-6 2020,1
United States,6,United States---Week-6 2020,5
Germany,7,Germany---Week-7 2020,2
Italy,7,Italy---Week-7 2020,0
Spain,7,Spain---Week-7 2020,1
United Kingdom,7,United Kingdom---Week-7 2020,6
United States,7,United States---Week-7 2020,3
Germany,8,Germany---Week-8 2020,0
Italy,8,Italy---Week-8 2020,14
Spain,8,Spain---Week-8 2020,0
United Kingdom,8,United Kingdom---Week-8 2020,0
United States,8,United States---Week-8 2020,20
Germany,9,Germany---Week-9 2020,42
Italy,9,Italy---Week-9 2020,871
Spain,9,Spain---Week-9 2020,32
United Kingdom,9,United Kingdom---Week-9 2020,9
United States,9,United States---Week-9 2020,31
Germany,10,Germany---Week-10 2020,627
Italy,10,Italy---Week-10 2020,3748
Spain,10,Spain---Week-10 2020,340
United Kingdom,10,United Kingdom---Week-10 2020,145
United States,10,United States---Week-10 2020,272
United States,11,United States---Week-11 2020,1836
Spain,11,Spain---Week-11 2020,3857
Italy,11,Italy---Week-11 2020,13024
Germany,11,Germany---Week-11 2020,2378
United Kingdom,11,United Kingdom---Week-11 2020,544
United States,12,United States---Week-12 2020,17450
Spain,12,Spain---Week-12 2020,15749
Italy,12,Italy---Week-12 2020,29361
Germany,12,Germany---Week-12 2020,15125
United Kingdom,12,United Kingdom---Week-12 2020,3276
United States,13,United States---Week-13 2020,85062
Spain,13,Spain---Week-13 2020,44079
Italy,13,Italy---Week-13 2020,39477
Germany,13,Germany---Week-13 2020,30395
United Kingdom,13,United Kingdom---Week-13 2020,10560
United States,14,United States---Week-14 2020,173279
Spain,14,Spain---Week-14 2020,53651
Italy,14,Italy---Week-14 2020,33329
Germany,14,Germany---Week-14 2020,37196
United Kingdom,14,United Kingdom---Week-14 2020,23625
United States,15,United States---Week-15 2020,223595
Spain,15,Spain---Week-15 2020,39312
Italy,15,Italy---Week-15 2020,27750
Germany,15,Germany---Week-15 2020,31880
United Kingdom,15,United Kingdom---Week-15 2020,32104
United States,16,United States---Week-16 2020,200604
Spain,16,Spain---Week-16 2020,31046
Italy,16,Italy---Week-16 2020,24857
Germany,16,Germany---Week-16 2020,19781
United Kingdom,16,United Kingdom---Week-16 2020,38420
United States,17,United States---Week-17 2020,188360
Spain,17,Spain---Week-17 2020,31696
Italy,17,Italy---Week-17 2020,20560
Germany,17,Germany---Week-17 2020,14999
United Kingdom,17,United Kingdom---Week-17 2020,34772
